% signal t-range:	0.0000000	912.00000
% breakpoint	1	1.8991228
% svcs	1	0	0	0
% svcs	2	10	34	34
1.0000000	-26.192745	-26.192745	-26.192745
1.0438596	-29.689894	-29.689894	-29.689894
1.0877193	-33.429339	-33.429339	-33.429339
1.1315789	-37.532789	-37.532789	-37.532789
1.1754386	-41.947791	-41.947791	-41.947791
1.2192982	-46.683925	-46.683925	-46.683925
1.2631579	-51.876787	-51.876787	-51.876787
1.3070175	-57.353817	-57.353817	-57.353817
1.3508772	-63.187277	-63.187277	-63.187277
1.3947368	-69.262429	-69.262429	-69.262429
1.4385965	-76.041705	-76.041705	-76.041705
1.4824561	-82.904430	-82.904430	-82.904430
1.5263158	-90.282356	-90.282356	-90.282356
1.5701754	-98.144575	-98.144575	-98.144575
1.6140351	-106.44125	-106.44125	-106.44125
1.6578947	-115.31836	-115.31836	-115.31836
1.7017544	-124.82379	-124.82379	-124.82379
1.7456140	-134.35847	-134.35847	-134.35847
1.7894737	-144.44518	-144.44518	-144.44518
1.8333333	-155.59540	-155.59540	-155.59540
1.8771930	-166.32909	-166.32909	-166.32909
1.9210526	-7102.2598	-7107.2978	4231.8360
1.9649123	-6082.1050	-11201.119	-5701.7955
2.0087719	-17528.492	-19580.905	-15682.402
2.0526316	-30048.831	-31810.891	-25643.117
2.0964912	-38556.839	-40925.936	-36376.092
2.1403509	-48476.592	-49296.506	-44483.096
2.1842105	-50272.058	-52007.221	-46368.525
2.2280702	-45158.323	-46608.469	-43158.078
2.2719298	-36161.582	-38332.013	-35583.059
2.3157895	-28508.924	-32083.390	-28508.159
2.3596491	-29138.498	-29490.208	-26816.845
2.4035088	-30921.038	-30923.073	-27710.221
2.4473684	-28120.810	-28499.635	-27531.136
2.4912281	-23515.570	-26313.448	-23514.150
2.5350877	-19063.836	-21571.482	-19062.824
2.5789474	-14979.785	-16228.812	-14703.204
2.6228070	-12348.811	-12612.766	-12120.958
2.6666667	-11899.481	-11900.093	-10567.293
2.7105263	-12934.114	-12935.145	-11460.930
2.7543860	-14379.521	-14380.159	-13650.456
2.7982456	-15794.591	-16280.150	-15757.713
2.8421053	-17214.718	-18223.821	-17213.898
2.8859649	-18586.297	-19571.234	-18585.423
2.9298246	-19570.528	-20099.697	-19569.979
2.9736842	-19741.230	-19945.749	-19667.217
3.0175439	-18849.472	-18849.592	-18560.124
3.0614035	-16937.062	-16937.347	-16510.150
3.1052632	-14286.393	-14286.800	-13814.034
3.1491228	-11293.138	-11293.672	-10789.162
3.1929825	-8343.3875	-8344.0432	-7658.9943
3.2368421	-5734.6259	-5735.3551	-4905.0828
3.2807018	-3644.7948	-3645.5078	-2785.5137
3.3245614	-2136.8944	-2137.4873	-1387.2556
3.3684211	-1183.3839	-1183.7690	-662.51102
3.4122807	-697.58794	-697.71539	-475.54235
3.4561404	-563.75646	-683.40547	-554.86550
3.5000000	-661.31030	-1025.2704	-660.94466
3.5438596	-881.64141	-1451.0318	-881.10444
3.5877193	-1137.6715	-1829.9165	-1137.0326
3.6315789	-1367.3984	-2102.4629	-1366.7250
3.6754386	-1533.0821	-2244.1953	-1532.4311
3.7192982	-1617.7263	-2256.6509	-1617.1393
3.7631579	-1620.2709	-2158.0953	-1619.7737
3.8070175	-1550.5549	-1975.4600	-1550.1591
3.8508772	-1424.7439	-1738.1707	-1424.4497
3.8947368	-1261.5927	-1473.9516	-1261.3924
3.9385965	-1079.6752	-1206.3644	-1079.5565
3.9824561	-895.54263	-953.70083	-895.49147
4.0263158	-722.68129	-743.64937	-720.81613
4.0701754	-571.09658	-584.18453	-539.63961
4.1140351	-447.34847	-453.97818	-389.81614
4.1578947	-354.87971	-356.11142	-279.72522
4.2017544	-294.50740	-294.61753	-207.29758
4.2456140	-264.98011	-265.10200	-168.82045
4.2894737	-263.53152	-263.66284	-159.60379
4.3333333	-286.38722	-286.52685	-174.50959
4.3771930	-329.20019	-329.34781	-208.35000
4.4210526	-387.40555	-387.56132	-256.16938
