% signal t-range (nanoseconds):	0.0000000	912.00000
% breakpoint	1	2.0746951
% svcs	1	0	0	0
% svcs	2	15	34	34
0.0000000	-2801624.5	-3885824.9
8.0000000	-2794601.1	-3805043.6
16.000000	-2800130.6	-3653146.5
24.000000	-2829960.8	-3440566.2
32.000000	-2850210.4	-3180306.0
40.000000	-2854541.4	-2887503.1
48.000000	-2775068.0	-2577303.6
56.000000	-2574227.7	-2263828.7
64.000000	-2296011.7	-1958861.2
72.000000	-1974827.5	-1671194.2
80.000000	-1640390.6	-1406557.9
88.000000	-1318687.8	-1167686.3
96.000000	-1020479.5	-955135.33
104.00000	-750003.70	-767860.92
112.00000	-523198.06	-604038.05
120.00000	-348585.19	-461801.65
128.00000	-218028.76	-339428.17
136.00000	-124071.04	-235776.79
144.00000	-58724.161	-149991.16
152.00000	-16276.406	-81364.214
160.00000	9298.1130	-29224.646
168.00000	23495.836	7684.2331
176.00000	26767.264	30910.963
184.00000	21917.242	42508.056
192.00000	11912.576	45174.002
200.00000	-2213.4811	41363.942
208.00000	-12809.838	33692.188
216.00000	-16307.829	24573.530
224.00000	-14685.861	15564.251
232.00000	-8268.3320	7901.5660
240.00000	-2554.4782	2349.4224
248.00000	-708.55606	-975.84744
256.00000	-197.68993	-2265.3700
264.00000	-127.96374	-1774.3917
272.00000	1614.9400	260.92946
280.00000	7498.6773	3380.1758
288.00000	14676.491	7242.8866
296.00000	20425.769	11743.196
304.00000	27813.698	16704.011
312.00000	36509.859	21832.157
320.00000	45493.411	26774.997
328.00000	55780.114	31310.313
336.00000	59766.119	35324.347
344.00000	54403.441	38375.398
352.00000	43482.515	40185.028
360.00000	28602.820	40720.360
368.00000	16685.878	39973.977
376.00000	11608.974	38143.928
384.00000	11047.759	35250.227
392.00000	13641.966	31396.146
400.00000	16466.050	26983.154
408.00000	17498.951	22272.746
416.00000	17333.830	17450.722
424.00000	16287.137	12714.165
432.00000	14446.739	8154.2672
440.00000	12317.224	3887.1408
448.00000	9428.9914	81.356368
456.00000	5396.0739	-3138.8819
464.00000	1554.9278	-5930.7482
472.00000	-2184.3256	-8470.2871
480.00000	-5492.6467	-10859.985
488.00000	-7692.4186	-13412.207
496.00000	-11906.648	-16353.355
504.00000	-18696.184	-19799.571
512.00000	-27499.059	-24052.743
520.00000	-38960.215	-29309.889
528.00000	-48060.266	-35607.032
536.00000	-52561.248	-42742.697
544.00000	-54726.530	-50359.695
552.00000	-55052.796	-58208.659
560.00000	-57443.243	-65864.276
568.00000	-64568.843	-72914.923
576.00000	-73510.121	-79152.713
584.00000	-81826.042	-84241.990
592.00000	-89425.292	-87839.152
600.00000	-95338.764	-89709.942
608.00000	-98716.174	-89743.278
616.00000	-100122.36	-87976.072
624.00000	-96728.759	-84469.165
632.00000	-86712.355	-79235.094
640.00000	-73314.776	-72315.745
648.00000	-58794.464	-63908.185
656.00000	-43624.075	-54194.359
664.00000	-29657.968	-43267.892
672.00000	-16346.373	-31509.789
680.00000	-2176.0328	-19394.754
688.00000	8135.8355	-7191.1131
696.00000	13109.255	4759.0817
704.00000	15086.532	16223.470
712.00000	14545.438	27028.200
720.00000	17053.518	36937.340
728.00000	25535.375	45838.026
736.00000	37255.225	53631.854
744.00000	50544.515	60238.200
752.00000	62469.720	65574.820
760.00000	70868.434	69450.836
768.00000	76331.467	71872.737
776.00000	79422.293	72933.332
784.00000	79790.166	72576.495
792.00000	77713.286	70768.867
800.00000	73490.712	67573.301
808.00000	66927.146	63055.078
816.00000	59678.747	57278.125
824.00000	52884.405	50428.395
832.00000	45514.621	42699.330
840.00000	37139.043	34183.071
848.00000	27728.624	25104.865
856.00000	16768.589	15726.669
864.00000	5262.8909	6215.5497
872.00000	-5071.9327	-3223.0769
880.00000	-15843.929	-12541.055
888.00000	-27985.189	-21624.675
896.00000	-38726.425	-30137.861
904.00000	-46486.417	-37877.281
912.00000	-50720.094	-44705.707
