% signal t-range (nanoseconds):	0.0000000	912.00000
% breakpoint	1	2.2938596
% svcs	1	0	0	0
% svcs	2	9	35	35
0.0000000	-7739.1243	-40558.050
8.0000000	-8328.5262	-39995.255
16.000000	-10638.729	-38940.627
24.000000	-15578.012	-37445.077
32.000000	-21614.397	-35568.045
40.000000	-28002.408	-33384.334
48.000000	-32687.164	-30973.158
56.000000	-34367.260	-28417.298
64.000000	-33838.514	-25795.996
72.000000	-31800.712	-23180.776
80.000000	-28653.181	-20633.227
88.000000	-24821.240	-18200.745
96.000000	-20710.467	-15918.153
104.00000	-16550.776	-13806.172
112.00000	-12792.409	-11873.498
120.00000	-9755.1210	-10120.266
128.00000	-7302.8312	-8538.3157
136.00000	-5309.1244	-7117.0736
144.00000	-3789.8372	-5843.6030
152.00000	-2675.8152	-4705.5471
160.00000	-1901.6482	-3694.2495
168.00000	-1448.0833	-2801.3014
176.00000	-1068.0810	-2023.1653
184.00000	-656.32701	-1358.3158
192.00000	-248.04563	-803.34975
200.00000	179.61369	-359.04761
208.00000	420.62139	-22.127642
216.00000	388.82637	214.33717
224.00000	190.62782	356.17023
232.00000	-125.59648	414.83166
240.00000	-383.00165	405.20735
248.00000	-475.67939	341.98672
256.00000	-462.67654	240.86638
264.00000	-381.36575	118.52073
272.00000	-285.17330	-8.8598016
280.00000	-218.03991	-129.92095
288.00000	-169.36753	-235.37530
296.00000	-125.73290	-316.96802
304.00000	-107.87061	-370.41431
312.00000	-116.77392	-395.20152
320.00000	-140.39414	-393.22191
328.00000	-180.14871	-366.08180
336.00000	-193.78051	-314.91412
344.00000	-157.62779	-244.89849
352.00000	-97.240600	-159.95863
360.00000	-17.956945	-61.981074
368.00000	60.250347	46.673566
376.00000	103.96994	165.00634
384.00000	157.51014	289.19339
392.00000	249.85763	415.42298
400.00000	323.45908	542.29385
408.00000	398.38487	666.22606
416.00000	439.28136	782.36356
424.00000	401.06703	885.80761
432.00000	465.64427	970.74661
440.00000	645.78572	1032.3577
448.00000	937.62052	1067.6569
456.00000	1383.0557	1075.0030
464.00000	1633.8973	1051.9944
472.00000	1604.1698	998.56048
480.00000	1344.6367	917.94033
488.00000	805.80713	813.28530
496.00000	469.98859	690.20803
504.00000	516.68111	556.17241
512.00000	787.33771	416.32292
520.00000	1257.2124	275.69066
528.00000	1446.4431	139.05894
536.00000	1137.9464	11.346549
544.00000	508.60645	-103.36917
552.00000	-340.15797	-204.45820
560.00000	-1052.7174	-291.17877
568.00000	-1479.5126	-364.08010
576.00000	-1624.2063	-426.38478
584.00000	-1476.8842	-479.82407
592.00000	-1336.0188	-525.49395
600.00000	-1256.7393	-564.85782
608.00000	-1282.7938	-599.78800
616.00000	-1521.6821	-632.83448
624.00000	-1504.6839	-665.93905
632.00000	-1128.4301	-699.71282
640.00000	-506.31975	-734.30808
648.00000	409.13257	-770.78406
656.00000	928.87926	-809.26823
664.00000	779.92209	-848.18276
672.00000	220.56346	-888.35568
680.00000	-712.13218	-931.03745
688.00000	-1372.2104	-974.81214
696.00000	-1373.9121	-1018.7907
704.00000	-1080.5781	-1060.7956
712.00000	-664.27403	-1098.0463
720.00000	-332.20550	-1128.5544
728.00000	-395.62270	-1149.1846
736.00000	-557.24299	-1156.8755
744.00000	-528.35617	-1148.6693
752.00000	-816.34035	-1122.0309
760.00000	-1396.1237	-1076.1649
768.00000	-2210.6360	-1008.9208
776.00000	-3416.4226	-918.21170
784.00000	-3855.5565	-804.74362
792.00000	-3186.6901	-670.27592
800.00000	-1736.8024	-516.83199
808.00000	466.01088	-347.59110
816.00000	1996.8310	-166.70041
824.00000	2317.7182	22.355596
832.00000	1752.8719	215.83565
840.00000	339.43528	408.84846
848.00000	-529.33285	598.08742
856.00000	-327.60202	780.90364
864.00000	647.39364	953.91795
872.00000	2380.0737	1114.4430
880.00000	3506.7191	1258.3532
888.00000	3517.5916	1382.5100
896.00000	2724.4935	1486.5406
904.00000	1140.8411	1569.1622
912.00000	119.84948	1629.1058
