% signal t-range:	0.0000000	912.00000
% breakpoint	1	2.0746951
% svcs	1	0	0	0
% svcs	2	15	34	34
1.0000000	-387.71333	-387.71333	-387.71333
1.0438596	-439.47924	-439.47924	-439.47924
1.0877193	-494.83169	-494.83169	-494.83169
1.1315789	-555.57226	-555.57226	-555.57226
1.1754386	-620.92453	-620.92453	-620.92453
1.2192982	-691.03030	-691.03030	-691.03030
1.2631579	-767.89669	-767.89669	-767.89669
1.3070175	-848.96942	-848.96942	-848.96942
1.3508772	-935.31815	-935.31815	-935.31815
1.3947368	-1025.2445	-1025.2445	-1025.2445
1.4385965	-1125.5935	-1125.5935	-1125.5935
1.4824561	-1227.1777	-1227.1777	-1227.1777
1.5263158	-1336.3881	-1336.3881	-1336.3881
1.5701754	-1452.7672	-1452.7672	-1452.7672
1.6140351	-1575.5773	-1575.5773	-1575.5773
1.6578947	-1706.9790	-1706.9790	-1706.9790
1.7017544	-1847.6813	-1847.6813	-1847.6813
1.7456140	-1988.8168	-1988.8168	-1988.8168
1.7894737	-2138.1234	-2138.1234	-2138.1234
1.8333333	-2303.1725	-2303.1725	-2303.1725
1.8771930	-2462.0561	-2462.0561	-2462.0561
1.9210526	-2645.2714	-2645.2714	-2645.2714
1.9649123	-2821.5016	-2821.5016	-2821.5016
2.0087719	-3014.0368	-3014.0368	-3014.0368
2.0526316	-3221.6753	-3221.6753	-3221.6753
2.0964912	-190396.23	-191136.79	-150311.39
2.1403509	-263196.48	-264936.72	-239858.55
2.1842105	-366219.32	-389433.30	-361796.31
2.2280702	-436515.82	-450110.63	-436354.72
2.2719298	-383252.89	-384742.59	-363149.89
2.3157895	-304930.90	-305831.30	-286143.68
2.3596491	-302347.93	-321217.08	-301217.21
2.4035088	-410870.38	-436564.40	-409924.42
2.4473684	-518475.58	-519440.11	-513436.47
2.4912281	-508531.92	-508949.80	-494226.27
2.5350877	-412762.69	-413217.06	-407405.80
2.5789474	-304865.11	-307896.94	-301619.40
2.6228070	-219574.03	-221060.21	-214887.21
2.6666667	-177577.96	-178506.12	-176805.20
2.7105263	-188308.43	-196466.73	-187116.83
2.7543860	-232723.94	-240640.37	-232059.54
2.7982456	-276885.82	-278152.90	-276445.38
2.8421053	-300010.14	-300752.09	-294525.14
2.8859649	-302518.77	-303016.62	-295300.93
2.9298246	-293804.34	-293979.85	-288799.73
2.9736842	-279272.66	-279326.48	-277410.90
3.0175439	-257735.71	-258019.10	-257318.70
3.0614035	-226282.63	-227484.56	-226196.50
3.1052632	-185301.34	-187169.86	-185181.21
3.1491228	-139689.25	-142613.32	-139533.08
3.1929825	-96717.982	-101105.16	-96523.717
3.2368421	-62924.549	-68701.115	-62631.855
3.2807018	-41958.900	-48469.098	-41563.797
3.3245614	-34041.376	-40271.483	-33630.455
3.3684211	-36693.806	-41615.556	-36354.600
3.4122807	-46037.494	-48894.634	-45818.485
3.4561404	-58043.411	-58496.711	-57850.927
3.5000000	-69396.922	-69506.242	-67526.117
3.5438596	-77900.434	-78132.510	-74108.080
3.5877193	-82498.884	-82810.716	-77372.271
3.6315789	-83073.073	-83420.128	-77249.740
3.6754386	-80138.041	-80481.651	-74201.882
3.7192982	-74544.727	-74856.051	-68962.270
3.7631579	-67239.174	-67500.262	-62333.506
3.8070175	-59098.199	-59301.056	-55051.672
3.8508772	-50837.714	-50982.788	-47712.799
3.8947368	-42978.559	-43077.714	-40747.271
3.9385965	-35851.602	-35910.984	-34426.268
3.9824561	-29625.403	-29652.633	-28886.181
4.0263158	-24343.546	-24359.520	-24160.320
4.0701754	-19962.815	-20210.825	-19933.288
4.1140351	-16387.080	-16956.674	-16347.521
4.1578947	-13494.477	-14295.994	-13449.859
4.2017544	-11157.371	-12122.339	-11110.957
4.2456140	-9255.6751	-10335.500	-9209.2452
4.2894737	-7684.6669	-8847.8152	-7638.8157
4.3333333	-6358.5845	-7587.0555	-6313.0389
4.3771930	-5211.2450	-6496.9114	-5165.1670
4.4210526	-4194.7337	-5535.9257	-4146.6101
4.4649123	-3276.9944	-4675.5525	-3225.9299
4.5087719	-2438.9353	-3897.8312	-2384.2578
4.5526316	-1671.4714	-3193.0137	-1611.8163
4.5964912	-972.76956	-2557.3570	-907.46683
4.6403509	-345.84369	-1991.1964	-274.53460
4.6842105	203.43448	0.0000000	280.78719
4.7280702	667.90404	0.0000000	751.02726
4.7719298	1040.2905	0.0000000	1128.6267
4.8157895	1314.0360	0.0000000	1406.7793
4.8596491	1483.8411	0.0000000	1579.9777
4.9035088	1545.9728	0.0000000	1644.3247
4.9473684	1498.3947	0.0000000	1597.6613
4.9912281	1340.7622	0.0000000	1439.5610
5.0350877	1074.3270	0.0000000	1171.2298
5.0789474	701.77807	0.0000000	795.34352
5.1228070	227.04953	0.0000000	315.85079
5.1666667	-344.88921	-1649.4441	-262.24103
5.2105263	-1008.2441	-2162.7660	-933.08103
5.2543860	-1756.5991	-2743.8903	-1690.1814
5.2982456	-2583.1035	-3387.2104	-2526.6086
5.3421053	-3480.6412	-4086.9501	-3435.1555
5.3859649	-4441.9776	-4837.2735	-4408.4920
5.4298246	-5459.8865	-5632.3797	-5439.2931
5.4736842	-6527.2550	-6530.2156	-6466.5814
5.5175439	-7637.1695	-7649.5766	-7334.3681
5.5614035	-8782.9830	-8805.4372	-8230.4563
5.6052632	-9958.3667	-9996.3100	-9149.8267
5.6491228	-11157.347	-11211.200	-10087.751
5.6929825	-12374.331	-12444.432	-11039.811
5.7368421	-13604.121	-13690.729	-12001.904
5.7807018	-14841.920	-14945.223	-12970.252
5.8245614	-16083.331	-16203.450	-13941.394
5.8684211	-17324.348	-17461.345	-14912.182
5.9122807	-18561.350	-18715.229	-15879.772
5.9561404	-19791.081	-19961.797	-16841.611
6.0000000	-21010.635	-21198.097	-17795.421
